train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
1.6169388157625992,1.538962357952981,0.011432321,0.02028006,0.005775484,0.010282915
1.5177922713048493,1.4953728358615452,0.04381015,0.10667809,0.023035748,0.057370547
1.4775435977459095,1.4567710000129652,0.088440344,0.09641465,0.047382735,0.052103143
1.440345992424457,1.4206326396112712,0.04430196,1.6699355e-14,0.023993596,1.6699355e-14
1.4055829002008935,1.3866345634237982,1.29764575e-14,1.591834e-14,1.29764575e-14,1.591834e-14
1.3713721745156509,1.3516361011900533,0.09533148,0.2936876,0.056262545,0.18021019
1.3367569578225873,1.3177773534831867,0.31982213,0.35623202,0.19640486,0.22390835
1.3039136917526277,1.28537315586713,0.36233154,0.39473537,0.22594057,0.2496022
1.2723807481075715,1.2525918932867721,0.494372,0.59450257,0.3425521,0.4392215
1.2415977853216038,1.2249039945153284,0.55831796,0.52063507,0.401869,0.36466467
1.2113025088312355,1.1920109194454174,0.5726311,0.60830617,0.4142356,0.44673944
1.1832003615990316,1.1650780268328291,0.58412606,0.5917317,0.42286626,0.4300118
1.158680843880695,1.1432766861898798,0.57813466,0.6240749,0.41826344,0.4674186
1.1342066494268024,1.1160464629425968,0.597948,0.6008429,0.43567565,0.43694952
1.1118283021939703,1.095840313904722,0.5986418,0.63864005,0.4377746,0.48263785
1.0902235489206533,1.0740671280614087,0.6166753,0.6470573,0.45623803,0.48993188
1.0695237232631967,1.0530340236047624,0.63005555,0.6670594,0.4722897,0.5129758
1.0488271259704944,1.0336227898656483,0.71071327,0.7885926,0.56753504,0.671297
1.0279072157985776,1.0078032435455793,0.7591544,0.7791143,0.6282561,0.651524
1.006878834728583,0.9865835151621993,0.7698296,0.7739333,0.64002585,0.6481752
0.9884808773954287,0.9736886693977974,0.7751358,0.7675802,0.6501866,0.6430877
0.9716357991768677,0.9482981873230195,0.73291576,0.8104969,0.6002922,0.6962994
0.9474484056199133,0.9243447392601782,0.7719027,0.8123203,0.643712,0.69603163
0.9265556678299222,0.9067951222802971,0.77133775,0.80169183,0.6431719,0.6815186
0.9029624410123338,0.8810280448376713,0.775766,0.82110596,0.6510308,0.71088
0.8775679432031815,0.8519318689342955,0.7880066,0.82346094,0.66460705,0.7092075
0.8543068785264418,0.8281004162583973,0.78079796,0.82548684,0.6571637,0.71545243
0.8250162125417597,0.7911064340667405,0.7936177,0.79582524,0.6744944,0.6748246
0.7938415307472361,0.7597535848617554,0.80011016,0.78580576,0.6820035,0.6586885
0.7622709483498307,0.720929805661591,0.7934369,0.82071275,0.67436385,0.7099874
0.7237526812716156,0.6814663855909882,0.8144488,0.83056366,0.70180404,0.7200486
0.6845491391168489,0.6423042890366534,0.8267132,0.80925286,0.71772075,0.69292665
0.6465100048079065,0.6008695610995654,0.81632423,0.82625985,0.7048886,0.718023
0.6134067966446421,0.571869929242407,0.8054841,0.8048183,0.693781,0.69554955
0.5756315884200183,0.5354505465169188,0.80179566,0.7753155,0.68718123,0.64950806
0.5278797374364543,0.4835356548297363,0.8222613,0.8100015,0.71244377,0.6975548
0.48504661290904166,0.4384163685116759,0.82883406,0.84390575,0.721655,0.73878235
0.443802685058515,0.4037068153298657,0.84006804,0.85852313,0.73740643,0.7699202
0.4106657211580721,0.3687167964862581,0.8401384,0.8517886,0.7391538,0.75991434
0.3878976332891213,0.3543946104989925,0.82815313,0.8428089,0.72428745,0.7463721
0.36234909032271123,0.32636630873549993,0.8299205,0.84162,0.7261576,0.7421838
0.3296787176836044,0.3020875911805516,0.8490044,0.84978795,0.7515988,0.75269306
0.32012613196295836,0.29423970411020056,0.83486086,0.84720516,0.732477,0.7580797
0.29086623897877284,0.2660051683409953,0.8522289,0.8571361,0.75676554,0.7709876
0.2801616248469932,0.2516313426485154,0.84952116,0.86140025,0.7507503,0.77019346
0.25880069247046245,0.2385172288714003,0.8572654,0.85991794,0.76301104,0.779433
0.24884267064498355,0.23236464099092802,0.8570538,0.85726327,0.76361674,0.7692165
0.23219055558354473,0.21915870864587036,0.8665851,0.86737484,0.7757861,0.78323054
0.22301168954902578,0.21604406089902345,0.86728257,0.85995877,0.776763,0.7781216
0.22124243092703375,0.21426810163178178,0.85967106,0.8550359,0.7666491,0.760958
